barangay,NDBI,nighttime_lights,omega_500,cooling_capacity,canyon_effect,microclimate_mod,dtr_proxy
Agusan,-0.2860956047760095,4.434933958944062,-0.1675092428922653,-822.5942977485878,549.0552230139664,-1.833951236536662,0.119720458984375
Baikingon,-0.2456388606037628,0.0772278622014176,-0.1675092428922653,-222.79222303758277,26.23127517357081,1.9586857298343272,0.119720458984375
Bulua,-0.1755364654203014,6.668537278655261,-0.1661563674038338,-6966.752048468328,1186.0989838746386,1.3574307320480856,0.4329396677658685
Balubal,-0.3191176701909767,0.9682064600410883,-0.1675092428922653,-8.614958526457613,4.841478885156215,-23.79085232507528,0.119720458984375
Balulang,-0.2487876684961463,9.339153385755614,-0.1675092428922653,-5657.892954895489,788.3730106294703,0.3763195639479641,0.119720458984375
Barangay 10,-0.1358667683813448,32.419382825309846,-0.1675092428922653,-5886.17257041741,4141.161074629113,1.2691876059873977,0.119720458984375
Barangay 11,-0.0538179257148958,37.05208502329484,-0.1675092428922653,-16821.147496386344,9662.786001063989,0.2445171954686854,0.119720458984375
Barangay 12,-0.1111032439993973,40.09000015258789,-0.1675092428922653,-16222.197032168102,7102.090599027707,0.6883352321274698,0.119720458984375
Barangay 13,-0.1544892970364379,31.77973214039632,-0.1675092428922653,-9115.962047730822,4295.576030171082,0.7566763661267687,0.119720458984375
Barangay 14,-0.0366042111483999,37.91667098671581,-0.1675092428922653,-13597.243414340606,9580.529764597815,0.452270901347053,0.119720458984375
Barangay 15,-0.1359718187097673,32.83354962413625,-0.1675092428922653,-9724.229730511192,3209.441708050426,0.8259210983787264,0.119720458984375
Barangay 16,-0.0290649388205178,38.2400016784668,-0.1675092428922653,-15047.529688596927,9994.880333918696,0.5195973953222911,0.119720458984375
Barangay 17,-0.1335826060354467,32.45398866349686,-0.1675092428922653,-10153.993195363888,3700.8257688088206,0.8062895290270399,0.119720458984375
Barangay 18,-0.0745102513405979,35.68657985960622,-0.1675092428922653,-21046.6898604548,7837.433624060155,0.8402531659859743,0.119720458984375
Barangay 19,-0.0327536498306221,38.22325748177462,-0.1675092428922653,-13738.662610034282,8081.396795026793,0.2360197705618695,0.119720458984375
Barangay 2,-0.1609004386665106,34.2407424918563,-0.1675092428922653,-8301.278074642218,4101.994271515953,1.874243411049896,0.119720458984375
Barangay 21,-0.0974063745680849,17.930616503176484,-0.1675092428922653,-14098.571325451292,6095.647381535168,0.5462861745826407,0.119720458984375
Barangay 22,-0.1023772664627243,33.850731233047554,-0.1675092428922653,-16823.46049840608,5959.400868725076,0.8392392525069902,0.119720458984375
Barangay 23,-0.0894504840057554,17.71073662664877,-0.1675092428922653,-16211.256934204344,8627.294437378012,0.5366169371123519,0.119720458984375
Barangay 24,-0.1110215196357885,33.795065286113825,-0.1675092428922653,-11500.288315695365,8817.051602148067,1.047697159348136,0.119720458984375
Barangay 26,-0.0889525415578574,32.17745828965878,-0.1675092428922653,-11208.673519239315,6256.006572435602,1.0552378884324147,0.119720458984375
Barangay 27,-0.1021897580817911,36.68667591507549,-0.1675092428922653,-16395.688565125776,6773.1243440795015,0.5451943080384664,0.119720458984375
